star,promotion,welfare,worklife,culture,ceo,merit,disadvantage
3,3,2,3,3,3,연차를 자유롭게 쓸수있다 도서구입비 지원 체력단련비지원함 회식도 금방끝남,열정이 앞서는 느낌 일이 많다 체계를 잡아가는중이라서 이랬다 저랬다 정책이 자주바뀐다
2,2,3,3,3,3,"스타트업이라 자유로운 분위기...............? 회사 위치, 젊은 분위기............? 혁신적인 분위기 이런게 좋았어요.","스타트업이라 불안정하고, 늘 새로운 걸 요구하므로 안정감이 떨어져요. 뭔가 오랫동안 일할 회사는 아니라는 느낌을 받았습니다. 경쟁업체는 근무환경이 어떤지 좀 참고하셔야할듯합니다."
1,1,3,5,1,1,"1위라고 하지만 왜 1위인지 모르겠다. 고객들의 항의를 막아내면서 영업하는 것도 한계가 있을듯.
하지만 그냥 맘편히 사원으로 근무하긴 딱 좋다.
시킨 것만 하다가 칼퇴하는 재미에 다녔다.
그리고 공짜 음료수는 감사감사.","인사과가 없다고 봐도 된다. 내 성과를 객관적으로 평가하는지 궁금하다.
퇴사자가 너무 많다. 스스로 퇴사하는 것보다는 퇴사하는 분위기를 만들어주는 것 같다. 아쉽다. 그런데 다 나가니까 익숙하다.
사람들이 스트레스가 심한지 다들 웃지 않는다.
웃었다간 내가 바보같이 느껴진다."
4,4,3,4,3,4,"야근이 거의 없고, 빠른 출퇴근이 용이함. 젊은 직원이 많은 위주임. 자유로운 복장",업무시간은 길지 않지만 업무강도는 높은 편임. 직원들의 고충을 들어주는 편은 아닌 듯함. 육아를 병행하기엔 업무강도가 높을 것으로 보임.
4,4,3,4,4,4,"직원들을 위한 리프레쉬제도가 있어서 연 최대 2주간 연차가능 항공권도 최대100까지 지원함
그외에도 칼퇴 가능한분위기이며 도서지원비,체력단련비 지원됨","복지제도는 다양한편이지만 충분히 쓸 기회는 다소부족한편이다
칼퇴는 보장되지만 그만큼 업무강도는 높은편"
4,3,3,4,4,4,"수평적인 사무실 분위기를 가지고 있으며, 음료 냉장고, 커피, 그 외의 간식들을 제공해준다. 테이블을 직원들과 따로 사용하였고, 눈치주지 않는 분위기이다. 아르바이트는 야근 절대 없다.",파티션이 없다는 것이 가장 큰 단점이지 않을까싶다. 뻥 뚫려있어서 무얼 하기에는 눈치가 좀 보일 수 있다는 점. 하지만 파티션이 없음에도 불구하고 엄청 조용하고 차분한 분위기이다. 각 회의실이나 기타 공간이 유리로 되어있어서 다른일 할 수 없다.
1,1,1,1,1,1,"장점을 생각해보려하는데 아무리생각해도 없습니다.
장점이 없어서 이 글을 보시는분들이 이 기업을 올 이유가 없다는게 장점","기업 존재자체가 단점. 윗선의 판단력이 떨어짐.
퇴사율이 높은 이유가있음. 남아있는사람들도 자의로 혹은 타의로 언제나가도 이상하지않음.
내 인생의 가장 큰 오점.
마포대교에서 생명의전화 들기 직전까지 취준스트레스로 몰려있는 상태라면 입사고민해보세요. 그게아니면 다른회사가시구요
별 하나도 아까운데 왜 별0개는없나요"
5,4,4,5,3,3,사람들끼리 사이좋고 성향 나쁜 사람 없음. 그게 다임. 점점 장점이 사라지는 회사,"연봉이 낮고, 유연했던 분위기가 점점 경직되어가는게 느껴졌음. 좋게 시작해 나쁘게 끝날 것 같은 회사"
5,4,5,5,4,4,"자유로운 연차, 깨끗한 사무공간, 지하철역에서 가까움, 수직적이지 않은 구조",아직 성장하는 기업이라 여러가지 갖추어야 하는 것들이 있음. 리더별로 팀 분위기가 다를 수 있음.
1,1,2,4,1,1,"젊은 회사, 비교적 자유로운 분위기로 휴가 사용시 눈치를 주지 않아 좋음, 배울점이 많은 동료들과 일할 수 있음",지나치게 경영진 위주로 자기 맘에 들지 않으면 그냥 나가라고 할 정도로 사내문화가 형편없음
1,1,2,3,2,1,"한때 가장 핫했던 업계에서 1위 자리 고수, 직원들 간의 관계가 너무 좋아 나름 즐겁게 다닐 수 있는 면도 있었음","있던 복지도 없애고, 애초에 낮은 연봉이 상승률도 좋지 않다는 것은 회사 상황이 좋지 않다는 반증. 게다가 경영진의 상명하복식 회사 운영에 반기를 드는 사람은 더 낮은 연봉상승률과 지속적인 갈굼으로 스스로 나갈 수밖에 없도록 만든다. 직급제가 없다는 것은 결국 상위 1% 정도의 성과가 없으면 드라마틱한 연봉 상승은 없다는 것임. 회식 메뉴로 갈구는 것은 정말 치졸함의 극치였다."
4,4,4,4,4,4,"워라밸이 괜찮으며, 휴가에 관대한편. 서울 근무라 근무지가 좋으며, 신생회사라 그런지 사내분위기가 괜찮음. 야근을 거의 하지않는편.","단점은 딱히 없음. 연봉이 타 직장에 비해 낮은편이긴 하지만, 근무여건을 고려하면 만족스럽다고 생각함."
2,1,2,4,3,1,"워라밸은 괜찮은 편, 또한 함께 일한 사람들이 굉장히 좋았음
물론, 상사들은 제외","경영진의, 경영진을 위한, 경영진에 의한 회사 운영
직원들의 의견은 중요치 않으며, 레벨이 낮다며 무시
주먹구구식 업무처리가 대부분이며, 서/연/고 출신 경력직이 아니면 위로 올라갈 수 없음"
4,4,3,4,5,2,"칼퇴 자유로운 연차사용 인센티브 잘나옴
업계 1등이라 인지도높음 사람들은 정말좋다 최고의 사람들",사실상 수직적인 관계 실력보다는 명령에 충실한 사람이 살아남는곳 윈투룸 빼고 다른 사업은 모두 성공시키지 못하구있음
1,1,1,5,1,1,"직방..... 이름있다는점
역에서 3분거리에 위치해있다는거","노골적으로 말해 어린꼰대가 있더라구요
급해서 인수인계를 빨리 했으면 업무 할 때 질문이라도 친절하게 빨리 받아주던가 그냥 불친절하게 밀어붙이면 다 되는줄 알고 담당자들 본인도 실수하면서 남의 실수는 더럽게 뭐라고 하는 어이없는 행태 보고 정떨어져서 수습기가 지나고 바로 나왔어요
메신저로 답변하면 늦게나 답장오고 이것조차도 불친절해요
오픈 스페이스 공간이어서 칸막이 없는데
실제로는 담당자에게 가서 뭐 하나 물어보기도 힘들어요
이럴거면 오픈 스페이스 왜 하는지도 모르겠고
옆에서 전화업무 엄청보는데 칸막이 없으니 시끄럽고 집중안되고
진짜 이정도로 개판인 회사 처음봤어요"
4,4,4,4,4,4,"성장하고 있는 기업이다.
복리후생이 잘 되어 있으며 관련업부에 관한 지원이 많다.","업무강도가 쎄다.
연장근무를 하게되는 경우에 야근수당은 없고, 교통비랑 식대를 받기 애매하다."
4,2,3,3,2,1,"연차등이 자유로우면 회사가 직원을 귀하게 여김
리프레쉬등 복지가 좋은편",정치가 심하면 운영진의 명확한 지시가 없다 대부분 모든 회사와 비슷
4,3,5,4,4,3,"부서마다 다르겠지만 일했던 부서는 야근이 거의 없었다. 각 팀 상급자들과의 관계에서는 수직적인 부분이 있긴 하지만 거의 수평적인 분위기를 유지하려고 한다. 내 의견을 낼 수는 있어서 좋았다. 사내의 분위기가 딱딱하지 않았다. 개인의 취향을 존중해주는 분위기?
확실히 복지는 좋은것 같다. 특히 연차부분에 있어서는 매우 만족스럽다.","야근이 없는 회사라고 하지만, 실제로 야근을 해야 할 상황이 생겼을 경우 야근 수당을 주지 않는 점이 아쉽다. 야근 식대나 야근 교통비는 지원해주지만 받기 애매하다."
1,1,2,3,1,1,업계 1위라는거 빼고는 커리어에 도움되지 않음.......................,"사원들 말 좀 잘 들으세요. 어쨌든 최전방에서 일하는 사람들의 말을 잘 들어주고 반영하는게 좋은 회사라고 생각듭니다. 대표 이사 리드들의 문제가 아주 많음. 본인들이 잘해서, 방향을 잘 잡아서 업계 1위가 아니라는걸 알았으면 좋겠네요. 사람 귀한줄 모르는 회사는 끝이 보인다는걸 명심 좀 하세요.

웬수한테 추천해 주고 싶은 회사."
1,1,1,1,3,1,"직무에 대한 자율성이 높은데 이것도 장점이자 단점인듯, 사업은 여러모로 확장 중이나......","자율성만 높지 업무에 대한 책임은 높음, 실제 책임감만 있고 업무에 대한 자유도 및 권한이 없음
뭐를 해야 할지 윗선도 몰름, 복지 축소 중, 알아서 판단하기 바람
직무에 대한 이해도가 부족한 듯? 윗선에서 바라는건 그냥 말잘듣는 사원
직무 개무시 가능으로 따른 업무 시킬 수 있는 가능성이 매우 높음"
4,4,4,4,4,3,"체력단련비, 레슨비 70%까지 지원해줌 (10만원 한도)
6시30분 되면 눈치 안 보고 칼퇴 가능","사람 스트레스가 장난 아님
시간이 갈수록 업무효율성이 점점 더 떨어지는 것 같음"
2,1,2,5,2,1,"연차를 유도리있게 쓸 수 있음, 직원 평균 나이가 어린편이라 비교적 젊은 문화, 야근이 거의 없음","있던 복지도 없에고 새로 시작하는 사업마다 잘 안됨, 마케팅도 최근 후발주자에게 밀리는 것 같음"
4,4,3,5,5,4,"관계가 아닌 업무중심, 함께 하는 플레이어(동료)가 모두 우수함,
수평적 의사결정 구조가 아닌 빠르게 결정하고 실행,
회사 사업 자체에 미래 비전이 있음
기타 2년마다 주워지는 추가 리프레시 휴가, 레슨비나 체력단련비도 지원","원칙이 너무 완고해 드라이해 보일때가 있음,
토론하고 여유 있게 결정해서 업무를 완성하는 조직은 아님.
결정하는 사람이 있고, 결정된 것에 잘 따라가야 함."
2,1,3,5,2,2,"6:30분만되면 우르르 일어나서 집에간다.
일에서의 성취감보다는 퇴근에 중점을 둔다면 다녀라.","정말 재미없게 일하는것같다.
너무 재미없어서 잠이 많이온다.

""일을해서 돈버는곳에서 무슨 재미를찾냐""라고
꼰대같이 말할 수 있는분들이 다니면 딱 좋은 회사"
3,3,2,4,3,3,"자유로운 연차 사용. 야근 강요 없음. 체력&자기계발비 지원. 일부 이상한 사람들 있지만, 일 잘하는 사람들도 다수 이어 배울 점 있음.
일하는 것에 따라, 워크앤라이프 발란스 충분히 지킬 수 있는 곳","답이 이미 정해져 있는 것들이 너무 많다.
좋게 말하면 유연한거지만, 판단 기준이 애매한 게 많다. 그래서 납득이 잘 안가는 경우가 빈번하게 생기는 듯."
1,1,2,5,1,1,칼퇴. 워라벨. 교통요지. 깨끗한 사무실.........(바닥에 카펫을 깔아서 발소리 없음 하지만 미친듯이 먼지가 쌓임),"과거부터 지키지도 못할 약속으로 살살 사탕발림하면서 직원들 회유하다가 바닥보이니깐 직원들 윽박지르는 중. 중개사무소 대상으로 건달영업. 특정인들 마음대로 휘두르는 인사평가. 특정인들이 이유없이 마음에 안든 사람은 끝까지 괴롭힘. 의사소통이 전혀안됨. 불통의 아이콘. 의견말하라고 해서 말하면 말했다고 시비. 말안하면 안했다고 시비. 그냥 닥치고 내 말대로 안할거면 회사 그만두라고 협박.

그냥 오지마세요......."
4,3,3,5,4,3,"쾌적한 환경에서 일에 집중할 수 있음, 떠오르는 시장에서 선두주자로서 자부심을 가지며 일할 수 있음, 대표가 좋아서 비록 파트장과 일하긴 하지만 그래도 좋은 영향을 받을 수 있음","외부에서 볼 때는 유연한 근무환경인데 막상 들어가면 보수적인 분위기 - 당연한 말이지만 파트마다 너무 다름, 과감성과 혁신성이 부족해 제품의 참신성은 떨어짐"
2,1,2,3,2,3,"장점은 스타트업이니까 직급이나 체계가 자유로움
소위 완전 꼰대는 없는 것 같아 보인다 (겉으로는 그래도 들리는 바에 의하면 있긴 있는것 같다만...)
그리고 젊은 기업 젊은 사람들 좋은 회사위치","회사가 더이상 발전 가능성 없음 원룸으로는 포화상태
그래서 다른거 하려고 하나본데 잘 되는지 모르겠음
완전 꼰대 아니여도 이상한 사람 분명 있고, 그리고 임원들은 대부분 지인으로 형성된 관계라서 회사에서 나갈 일이 절대 없음. 의사결정이 수평적인것 같으나 결국은 최고권위자 결정에 달렸음. 결국 답정너임. 객관적인척 하지만 굉장히 객관적이지 못함. 아 그리고, 신입한테 엄청 많은거 기대하고 교육따윈 없음 알아서 배워야함"
3,4,3,3,3,3,"1. 기업 고유의 문화
사내 임직원들이 고유의 문화를 만들고 정착시킬 수 있도록 신경쓰는게 티가 납니다.

2. 발빠르다
체계가 미진한 부분들도 존재하지만 단시간에 빠른 업무프로세스를 만들어 리드하는 모습이 인상깊었습니다.

3. 수평적 문화(각 팀마다 다름)
직급 문화가 없어 위아래가 서로 존중할 수 있는 분위기가 형성됩니다. 일부 팀에서 다를 수 있습니다.","1. 장벽
소통의 장벽, 업무적 장벽이 있습니다. 왜 일을 이렇게 까지 확인받고 돌아가야 하는 것 인지, 디테일에 매몰되는 것이 아닌지 의아했습니다.

2. 모두가 누릴 수 없다.
위의 기재 했던 장점 사항들은 모두가 누릴 수 없습니다. 팀별로 양음의 관계가 확실합니다."
1,2,2,3,3,2,"깨끗한 인테리어
무료 음료수와 커피
회사 위치가 좋아서 출퇴근 편함","겉으로는 열린 조직 문화를 보여준다면서
속으로는 갑질하는 회사
직원들을 하나의 부속품으로 생각한다

오피스가 다 개방형이라서 누가 자꾸 감시하는거같은 느낌적인 느낌으로 꽤 불편하다

왜때문에 퇴근할때 굳이 노트북 다 치워야는지 이해가 안감"
5,5,4,5,5,4,일 말고 개인적인 잉여로움이나 나태함 없이 집중해서 일 하다 보니 업무시간 집중도도 올라가고 소위 칼퇴가 가능해요! 칼퇴가 목적이 아니라 직원간 업무연락도 좋고 솔직하게 이야기 나누다 보니 의사결정도 빠릅니다.,너무 타이트하지 않나 싶을때가 있음. 모든 회사가 그렇지만 탑관리자의 의사결정이 100프로 전달되지는 않는듯. 급여수준은 캐바캐 겠지만 저로서는 다소 아쉽
1,2,1,4,1,2,"눈치 안보고 연차 쓸수있음
냉장고에 음료수가 있음
맥심 뿐만 아니라 카누도 있음
워라밸 괜찮은편
예쁜 회사 인테리어","권력자의 말에 동의하지 않으면 빨갱이 취급당하는 회사
직원들 얼평이나 하고 다니는 몇몇 임직원/월급루팡
출근 시간에 회의을 잡아 회의 준비로 인해 강제로 조기 출근할수밖에 없게 만드는 문화
명색이 IT기업임에도 불구하고 느린 인터넷. 짠돌st.
대기업의 쓸데없는 보고 문화, 스타트업의 낮은 연봉, 외국계 기업의 스마트 워크 플레이스? 도입으로 출퇴근 때 내 컴퓨터를 사물함에 넣고 다녀야하는 불편한 업무 환경 등등 남들이 하는 안 좋은/비효율적인 거 다 따라 하는 회사ㅋㅋㅋ"
3,3,3,3,3,3,스타트업으로 시작하여 여느 회사처럼 꼰대문화는 많지 않으며 생각이 젊어 다양한 시도를 할 수 있다,마찬가지로 스타트업으로 시작하여 체계화된 것이 없고 주먹구구식으로 일하는것들이 생김
4,3,3,4,5,3,"야근이 거의 없고, 눈치없이 연차 사용, 의견 제시 모두 자유롭게 할 수 있다. 물론 모든 의견이 다 받아들여지는것은 아닙니다 ㅎㅎ 그래도 대부분의 팀원들이 불만없는 합리적인 의사결정의 프로세스를 거치는 편이다. 사내 분위기는 정말 활기차고 자유로운 편!","회사 규모가 커짐에 따라, 비효율적인 업무가 생겨나기 시작함. 형식상 in charge , 즉 모든 결정은 결국 해당 담당자가 하는 업무 방식을 지향하지만, 실상은 그렇지 않음."
4,4,4,5,4,4,"자유로운 분위기, 서로 존중해준다.
의사결정 빠르고 바로 실행하는 분위기
일을 빠르게 많이 해볼 수 있고 그를 통해 성장 가능 하다.
개발자인데도 야근 별로 안하고 칼퇴할 수 있는 분위기이다. 연차도 자유롭게 쓸 수 있다.","성장하는 곳이다보니 개인이 책임지고 수행해야하는 일이 많음
커나가는 과정이다보니 프로세스나 의사결정 과정에서 체계가 안잡힌 것 있다."
4,4,4,4,2,5,"의지만 있으면 바쁘게 배울 게 많은 편, 리프레시 휴가",시스템이 갖추어져있지 않아 의외의 불합리함읗 만날 수 있음. 의사결정이라든가 복지라든가
3,3,3,3,3,3,"업계 1위 기업으로 성장 가능성 높음, 회사 위치가 좋음, 복지가 좋은 편이고 칼퇴가 가능함.","수직적인 부분이 많이 있고, 업무에 대한 체계적인 기준이 없음."
